company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year, raised_amount_usd 
/company/140-proof,140 Proof,advertising,USA,CA,SF Bay,San Francisco,series-a,7/1/09,2009-07,2009-Q3,2009,"3,000,000"
/company/140fire,140Fire,advertising,USA,CA,Los Angeles,Santa Monica,angel,5/5/10,2010-05,2010-Q2,2010,"500,000"
/company/15five,15Five,software,USA,CA,SF Bay,San Francisco,angel,1/1/12,2012-01,2012-Q1,2012,"200,000"
/company/15five,15Five,software,USA,CA,SF Bay,San Francisco,venture,1/15/13,2013-01,2013-Q1,2013,"1,000,000"
/company/15minutesnow,15MinutesNOW,games_video,,,unknown,,angel,5/10/11,2011-05,2011-Q2,2011,"200,000"
/company/169-st,169 ST.,games_video,USA,FL,Orlando,Lake Mary,angel,6/1/09,2009-06,2009-Q2,2009,"50,000"
/company/170-systems,170 Systems,software,USA,MA,Boston,Bedford,series-a,4/16/02,2002-04,2002-Q2,2002,"14,000,000"
/company/180kb-limited,Metafused,other,GBR,,London,London,angel,6/1/13,2013-06,2013-Q2,2013,
/company/1bib,1bib,web,CHN,,China - Other,,series-a,2/7/08,2008-02,2008-Q1,2008,
/company/1bog,One Block Off the Grid (1BOG),cleantech,USA,CA,SF Bay,San Francisco,series-a,2/11/10,2010-02,2010-Q1,2010,"5,000,000"
/company/1c-company,1C Company,software,RUS,,Moscow,Moscow,venture,10/3/11,2011-10,2011-Q4,2011,"200,000,000"
/company/1calendar,1calendar,software,DNK,,DNK,Copenhagen,angel,4/4/08,2008-04,2008-Q2,2008,"40,000"
/company/1cast,1Cast,games_video,USA,WA,Seattle,Kirkland,venture,8/12/08,2008-08,2008-Q3,2008,
/company/1cloudstar-asia,CloudStar Asia,enterprise,SGP,,Singapore,Singapore,angel,8/1/13,2013-08,2013-Q3,2013,
/company/1daylater,1DayLater,web,,,unknown,,other,10/1/09,2009-10,2009-Q4,2009,"31,924"
/company/1daylater,1DayLater,web,,,unknown,,other,5/1/09,2009-05,2009-Q2,2009,"11,888"
/company/1daymakeover,1DayMakeover,ecommerce,USA,CA,Los Angeles,Santa Ana,angel,6/30/08,2008-06,2008-Q2,2008,"50,000"
/company/1energy-systems,1Energy Systems,software,USA,WA,Seattle,Seattle,venture,4/22/13,2013-04,2013-Q2,2013,"1,450,000"
/company/1eq,1eq,health,,,unknown,,angel,7/1/12,2012-07,2012-Q3,2012,"200,000"
/company/1eq,1eq,health,,,unknown,,angel,12/23/13,2013-12,2013-Q4,2013,"1,100,000"
/company/1life-healthcare,1Life Healthcare,,USA,CA,SF Bay,San Francisco,series-c+,3/21/13,2013-03,2013-Q1,2013,"30,000,000"
/company/1mind,1Mind,social,USA,NH,Hampton,Hampton,angel,8/5/13,2013-08,2013-Q3,2013,"500,000"
/company/1ring,1Ring,web,,,unknown,,venture,2/21/11,2011-02,2011-Q1,2011,
/company/1sdk,1SDK,mobile,DEU,,Berlin,Berlin,angel,8/5/13,2013-08,2013-Q3,2013,"19,299"
/company/1spire,1spire,manufacturing,USA,TX,Houston,Houston,venture,12/20/11,2011-12,2011-Q4,2011,"30,000"
/company/1stdibs,1stdibs,ecommerce,USA,NY,New York,New York,venture,11/3/11,2011-11,2011-Q4,2011,
/company/1stdibs,1stdibs,ecommerce,USA,NY,New York,New York,venture,12/3/12,2012-12,2012-Q4,2012,"42,000,000"
/company/1stdibs,1stdibs,ecommerce,USA,NY,New York,New York,angel,10/1/12,2012-10,2012-Q4,2012,
/company/1stgig-com,1stGig.com,ecommerce,USA,WI,TBD,Saratoga Springs,angel,10/1/12,2012-10,2012-Q4,2012,"750,000"
/company/1world-online,1World Online,enterprise,USA,CA,SF Bay,San Jose,series-a,7/2/13,2013-07,2013-Q3,2013,"1,000,000"
/company/1world-online,1World Online,enterprise,USA,CA,SF Bay,San Jose,series-a,12/1/13,2013-12,2013-Q4,2013,"500,000"
/company/2-minutes,2 Minutes,games_video,FRA,,Paris,Paris,series-a,6/19/08,2008-06,2008-Q2,2008,"1,660,000"
/company/20-20-mobile,20:20 Mobile,mobile,ARE,,Crewe,"Crewe, Cheshire",venture,7/4/08,2008-07,2008-Q3,2008,"29,750,000"
/company/2080-media,2080 Media,news,USA,GA,Atlanta,Atlanta,venture,8/5/10,2010-08,2010-Q3,2010,"2,500,000"
/company/2080-media,2080 Media,news,USA,GA,Atlanta,Atlanta,other,12/20/12,2012-12,2012-Q4,2012,"4,300,000"
/company/2080-media,2080 Media,news,USA,GA,Atlanta,Atlanta,venture,9/6/11,2011-09,2011-Q3,2011,"7,200,000"
/company/2080-media,2080 Media,news,USA,GA,Atlanta,Atlanta,other,5/13/11,2011-05,2011-Q2,2011,"1,000,000"
/company/2080-media,2080 Media,news,USA,GA,Atlanta,Atlanta,series-c+,7/19/13,2013-07,2013-Q3,2013,"26,000,000"
/company/20jeans,Twenty Jeans,ecommerce,USA,CA,Los Angeles,Los Angeles,angel,4/18/13,2013-04,2013-Q2,2013,"1,000,000"
/company/20jeans,Twenty Jeans,ecommerce,USA,CA,Los Angeles,Los Angeles,angel,2/1/13,2013-02,2013-Q1,2013,
/company/20lines,20lines,web,ITA,,Roncade,Roncade (TV),angel,10/1/12,2012-10,2012-Q4,2012,"115,893"
/company/20lines,20lines,web,ITA,,Roncade,Roncade (TV),angel,6/25/13,2013-06,2013-Q2,2013,"250,000"
/company/20x200,20x200,ecommerce,USA,NY,New York,New York,series-a,10/1/09,2009-10,2009-Q4,2009,"800,000"
/company/20x200,20x200,ecommerce,USA,NY,New York,New York,series-a,8/1/10,2010-08,2010-Q3,2010,"2,000,000"
/company/21cake-food-co,21Cake Food Co.,hospitality,CHN,,China - Other,,venture,1/22/10,2010-01,2010-Q1,2010,"1,460,000"
/company/21e6,2.10E+07,,USA,CA,SF Bay,San Francisco,venture,11/17/13,2013-11,2013-Q4,2013,"5,050,000"
/company/21grams,21GRAMS,,SWE,,Stockholm,STOCKHOLM,venture,4/3/06,2006-04,2006-Q2,2006,"2,580,000"
/company/21vianet,21viaNet,,CHN,,China - Other,,series-a,12/1/12,2012-12,2012-Q4,2012,
/company/21vianet,21viaNet,,CHN,,China - Other,,series-c+,6/1/08,2008-06,2008-Q2,2008,
/company/22nd-century-group,22nd Century Group,biotech,USA,NY,Clarence,Clarence,other,8/23/12,2012-08,2012-Q3,2012,"530,000"
/company/22nd-century-group,22nd Century Group,biotech,USA,NY,Clarence,Clarence,series-a,11/16/12,2012-11,2012-Q4,2012,"2,428,500"
/company/22nd-century-group,22nd Century Group,biotech,USA,NY,Clarence,Clarence,other,12/28/11,2011-12,2011-Q4,2011,"1,926,250"
/company/22seeds,22seeds,software,ISR,,Tel Aviv,Tel Aviv,angel,10/15/13,2013-10,2013-Q4,2013,"250,000"
/company/2359-media,2359 Media,mobile,SGP,,Singapore - Other,,series-a,1/11/11,2011-01,2011-Q1,2011,"615,000"
/company/23andme,23andMe,biotech,USA,CA,SF Bay,Mountain View,series-a,5/1/07,2007-05,2007-Q2,2007,"9,000,000"
/company/23andme,23andMe,biotech,USA,CA,SF Bay,Mountain View,series-b,6/18/09,2009-06,2009-Q2,2009,"12,600,000"
/company/23andme,23andMe,biotech,USA,CA,SF Bay,Mountain View,series-c+,11/9/10,2010-11,2010-Q4,2010,"22,000,000"
/company/23andme,23andMe,biotech,USA,CA,SF Bay,Mountain View,series-c+,1/7/11,2011-01,2011-Q1,2011,"9,000,000"
/company/23andme,23andMe,biotech,USA,CA,SF Bay,Mountain View,series-c+,12/10/12,2012-12,2012-Q4,2012,"50,000,000"
/company/23andme,23andMe,biotech,USA,CA,SF Bay,Mountain View,series-c+,12/21/12,2012-12,2012-Q4,2012,"57,949,892"
/company/23press,23press,software,CAN,,Toronto,Toronto,angel,8/15/11,2011-08,2011-Q3,2011,"50,000"
/company/24-7-card,24/7 Card,finance,USA,CA,Los Angeles,Los Angeles,series-a,10/25/10,2010-10,2010-Q4,2010,
/company/24-7-card,24/7 Card,finance,USA,CA,Los Angeles,Los Angeles,series-a,10/24/11,2011-10,2011-Q4,2011,
/company/24-7-card,24/7 Card,finance,USA,CA,Los Angeles,Los Angeles,venture,12/21/11,2011-12,2011-Q4,2011,"3,452,941"
/company/24-media-network,24 Media Network,web,SWE,,Stockholm,Stockholm,venture,9/1/08,2008-09,2008-Q3,2008,"185,452"
/company/24-media-network,24 Media Network,web,SWE,,Stockholm,Stockholm,venture,1/1/09,2009-01,2009-Q1,2009,"1,024,250"
/company/247-learning-private,24x7 Learning,web,IND,,Bangalore,Bangalore,venture,11/6/07,2007-11,2007-Q4,2007,"4,000,000"
/company/247-techies,247 Techies,hardware,USA,NY,New York,New York,angel,11/5/12,2012-11,2012-Q4,2012,"600,000"
